measurement_type,target_id,experiment_id,measurement,error_scale
mic,met-L_c,dataset_1,0.038729833,0.28
mic,amet_c,dataset_1,0.092195445,0.263
mic,ahcys_c,dataset_1,0.010954451,0.557
mic,hcys-L_c,dataset_1,0.004242641,0.149
mic,5mthf_c,dataset_1,0.004,0.596
flux,CBS,dataset_1,0.629,0.06
flux,GNMT,dataset_1,0.023,0.0023
flux,AHC,dataset_1,1.027,0.1
flux,MS,dataset_1,0.088,0.0088
mic,met-L_c,dataset_2,0.038729833,0.28
mic,amet_c,dataset_2,0.092195445,0.263
mic,ahcys_c,dataset_2,0.010954451,0.557
mic,hcys-L_c,dataset_2,0.004242641,0.149
mic,5mthf_c,dataset_2,0.004,0.596
flux,CBS,dataset_2,0.994,0.1
flux,GNMT,dataset_2,0.394,0.03
flux,AHC,dataset_2,1.43,0.1
flux,MS,dataset_2,0.063,0.0063
mic,met-L_c,dataset_3,0.03872983,0.28
mic,amet_c,dataset_3,0.09219545,0.263
mic,ahcys_c,dataset_3,0.01095445,0.557
mic,hcys-L_c,dataset_3,0.00424264,0.149
mic,5mthf_c,dataset_3,0.004,0.596
flux,CBS,dataset_3,0.654,0.065
flux,GNMT,dataset_3,0.003,0.0003
flux,AHC,dataset_3,0.788,0.079
flux,MS,dataset_3,0.134,0.013
mic,met-L_c,dataset_4,0.03872983,0.28
mic,amet_c,dataset_4,0.09219545,0.263
mic,ahcys_c,dataset_4,0.01095445,0.557
mic,hcys-L_c,dataset_4,0.00424264,0.149
mic,5mthf_c,dataset_4,0.004,0.596
flux,CBS,dataset_4,0.627,0.063
flux,GNMT,dataset_4,0.071,0.007
flux,AHC,dataset_4,1.04,0.1
flux,MS,dataset_4,0.021,0.002
mic,met-L_c,dataset_5,0.038729833,0.28
mic,amet_c,dataset_5,0.092195445,0.263
mic,ahcys_c,dataset_5,0.010954451,0.557
mic,hcys-L_c,dataset_5,0.004242641,0.149
mic,5mthf_c,dataset_5,0.004,0.596
flux,CBS,dataset_5,0.629,0.06
flux,GNMT,dataset_5,0.023,0.0023
flux,AHC,dataset_5,1.027,0.1
flux,MS,dataset_5,0.088,0.0088
mic,met-L_c,dataset_6,0.038729833,0.28
mic,amet_c,dataset_6,0.092195445,0.263
mic,ahcys_c,dataset_6,0.010954451,0.557
mic,hcys-L_c,dataset_6,0.004242641,0.149
mic,5mthf_c,dataset_6,0.004,0.596
flux,CBS,dataset_6,0.629,0.06
flux,GNMT,dataset_6,0.048,0.005
flux,AHC,dataset_6,1.064,0.1
flux,MS,dataset_6,0.085,0.0085
mic,met-L_c,dataset_7,0.038729833,0.28
mic,amet_c,dataset_7,0.092195445,0.263
mic,ahcys_c,dataset_7,0.010954451,0.557
mic,hcys-L_c,dataset_7,0.004242641,0.149
mic,5mthf_c,dataset_7,0.004,0.596
flux,CBS,dataset_7,0.56,0.06
flux,GNMT,dataset_7,0.027,0.0027
flux,AHC,dataset_7,1.019,0.1
flux,MS,dataset_7,0.092,0.009
mic,met-L_c,dataset_8,0.038729833,0.28
mic,amet_c,dataset_8,0.092195445,0.263
mic,ahcys_c,dataset_8,0.010954451,0.557
mic,hcys-L_c,dataset_8,0.004242641,0.149
mic,5mthf_c,dataset_8,0.004,0.596
flux,CBS,dataset_8,0.608,0.06
flux,GNMT,dataset_8,0.018,0.002
flux,AHC,dataset_8,0.974,0.1
flux,MS,dataset_8,0.102,0.01
mic,met-L_c,dataset_9,0.038729833,0.28
mic,amet_c,dataset_9,0.092195445,0.263
mic,ahcys_c,dataset_9,0.010954451,0.557
mic,hcys-L_c,dataset_9,0.004242641,0.149
mic,5mthf_c,dataset_9,0.004,0.596
flux,CBS,dataset_9,0.623,0.06
flux,GNMT,dataset_9,0.073,0.0073
flux,AHC,dataset_9,1.074,0.1
flux,MS,dataset_9,0.09,0.009
mic,met-L_c,dataset_10,0.038729833,0.28
mic,amet_c,dataset_10,0.092195445,0.263
mic,ahcys_c,dataset_10,0.010954451,0.557
mic,hcys-L_c,dataset_10,0.004242641,0.149
mic,5mthf_c,dataset_10,0.004,0.596
flux,CBS,dataset_10,0.63,0.06
flux,GNMT,dataset_10,0.069,0.0069
flux,AHC,dataset_10,1.105,0.1
flux,MS,dataset_10,0.079,0.0079
mic,met-L_c,dataset_11,0.038729833,0.28
mic,amet_c,dataset_11,0.092195445,0.263
mic,ahcys_c,dataset_11,0.010954451,0.557
mic,hcys-L_c,dataset_11,0.004242641,0.149
mic,5mthf_c,dataset_11,0.004,0.596
flux,CBS,dataset_11,0.623,0.06
flux,GNMT,dataset_11,0.25,0.025
flux,AHC,dataset_11,1.013,0.1
flux,MS,dataset_11,0.059,0.0059
mic,met-L_c,dataset_12,0.03872983,0.28
mic,amet_c,dataset_12,0.09219545,0.263
mic,ahcys_c,dataset_12,0.01095445,0.557
mic,hcys-L_c,dataset_12,0.00424264,0.149
mic,5mthf_c,dataset_12,0.004,0.596
flux,CBS,dataset_12,0.62,0.06
flux,GNMT,dataset_12,0.085,0.0085
flux,AHC,dataset_12,1.111,0.1
flux,MS,dataset_12,0.083,0.0083
